Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
Binc 2019,200000.0,2019-06-01,2020-06-30,toward the costs of the #valuable campaign to increase the inclusion of people with disabilities through inclusive business practices,Strategic Opportunities Fund,Unknown,"18 Eustace Street, Dublin,  2, Ireland"
The Workers Lab 2019,500000.0,2019-06-01,2020-06-30,"toward the costs of piloting the Workers Strength Fund, an emergency grant fund providing cash benefits of up to $1,000 to low-wage, gig economy workers to help cover unexpected expenses",U.S. Economic Opportunity,Unknown,"1111 Broadway, Floor 3, Oakland, CA 94607, United States of America"
"Climate Policy Initiative, Inc. 2019",700000.0,2019-06-01,2020-05-31,"toward the costs of designing a new set of innovative financial tools that will enable investors, countries and governments to manage their climate transition risks",Innovative Finance,Unknown,"575 Market St, Fl 4, San Francisco, CA 94105-5818, United States of America"
United States Fund for UNICEF 2019,15000000.0,2019-06-01,2023-02-28,"in support of implementing the ""Intelligent Community Health Systems: A Partnership between The Rockefeller Foundation and UNICEF"" to strengthen data-driven community health",Health Initiative,Unknown,"125 Maiden Lane, 12th floor, New York, NY 10038, United States of America"
National Academy of Sciences 2019,250000.0,2019-06-01,2021-12-31,for use by the National Academy of Medicine toward the costs of developing a Global Roadmap for Healthy Longevity,Health Initiative,Unknown,"500 Fifth Street, NW, Washington, DC 20001, United States of America"
National Academy of Sciences 2019,250000.0,2019-06-01,2020-12-31,"for use by its Committee on Science, Technology and Law toward the costs of an international initiative on the clinical use of germline genome editing",Health Initiative,Unknown,"500 Fifth Street, NW, Washington, DC 20001, United States of America"
Meridian Institute 2019,200000.0,2019-06-01,2020-09-30,"for use by its Global Alliance for the Future of Food in support of its efforts to leverage resources in order to shift food systems toward greater sustainability, security and equity",Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
"Seed Systems Group, Inc. 2019",349982.0,2019-06-01,2021-01-01,in support of developing agricultural seed system feasibility studies and road maps for select African countries in an effort to bring higher-yielding crop varieties to African farmers,Food Initiative,Unknown,"Riverside Studios, Riverside Lane, Nairobi,, Kenya"
Global Alliance for Improved Nutrition 2019,200000.0,2019-06-01,2020-11-30,"in support of gathering data about diet quality in Ghana and Tanzania to inform the Gallup Global Diet Quality project, an effort to build the first global diet quality database freely accessible to the public",Food Initiative,Unknown,"Rue de Varembé 7, Geneva,  CH-1202, Switzerland"
2019,100000.0,2019-06-01,2020-08-31,in support of coordinating efforts to scale up regenerative landscape practices globally and to facilitate dissemination of the Food System Vision Prize,Food Initiative,Unknown,
2019,150000.0,2019-05-01,2020-12-31,"in support of organizing the ""Bellagio Conversation on Fragile States in the Sahel"" to be held at The Rockefeller Foundation Bellagio Center, Italy, May 2019",Africa Regional Office,Unknown,
New Venture Fund 2019,250000.0,2019-05-01,2020-07-31,"for use by its Safety Net Defense Fund toward the costs of an effort to protect social safety net programs, such as Medicaid and the Supplemental Nutrition Assistance Program, for low-income people in the U.S.",Food Initiative,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
"Atlantic Council of the United States, Inc. 2019",33000000.0,2019-05-01,2026-05-01,"for use by its Adrienne Arsht-Rockefeller Foundation Resilience Center in support of identifying, implementing, and scaling solutions to the urgent crises of climate change, migration, and security",Power and Climate,Unknown,"1030 15th Street NW, 12th Floor, Washington, DC 20005-1500, United States of America"
"Atlantic Council of the United States, Inc. 2019",250000.0,2019-04-01,2020-06-30,for use by its GeoTech Center in support of a series of convenings and reports exploring China's emerging global role as a leader in the development of artificial intelligence,New Frontiers,Unknown,"1030 15th Street NW, 12th Floor, Washington, DC 20005-1500, United States of America"
WorkLife Partnership 2019,175000.0,2019-04-01,2020-06-30,"for use by its project, WorkLab Innovations, toward the costs of increasing the number of frontline and lower-wage workers with access to special assistance that will help them address barriers to stable employment such as childcare, transportation, housing, health and financial stability",U.S. Economic Opportunity,Unknown,"99 Inca Street, Denver, CO 80223, United States of America"
Post Road Foundation 2019,481853.0,2019-04-01,2021-09-30,in support of piloting a sustainable digital infrastructure project in a rural community and using it as a blueprint to bridge the digital divide across the U. S.,Innovative Finance,Unknown,"1999 Harrison Street, Suite 1800, Oakland, CA 94612, United States of America"
"US SIF Foundation, Ltd. 2019",360704.0,2019-03-01,2020-12-31,"in support of research and a convening to explore how to grow retail demand for impact investing in retirement plans, to be held at The Rockefeller Foundation Bellagio Center, Italy, August 2019",Innovative Finance,Unknown,"1660 L Street, NW, Suite 306, Washington, DC 20036, United States of America"
Candid 2019,360000.0,2019-01-01,2021-12-31,in general support of its mission to strengthen the social sector by advancing knowledge about philanthropy in the U.S. and around the world,Strategic Opportunities Fund,Unknown,"32 Old Slip, 24th Floor, New York, NY 10005, United States of America"
Rockefeller Philanthropy Advisors 2019,500000.0,2019-01-01,2020-12-31,"for use by its International Commission on Financing Global Education Opportunity toward the costs of designing the International Finance Facility for Education, a partnership between developing countries, international financial institutions and public and private donors to mobilize new, critically needed funding for education",Innovative Finance,Unknown,"6 West 48th Street, 10th Floor, New York, NY 10036, United States of America"
Center for Effective Philanthropy 2019,200000.0,2019-01-01,2020-12-31,"in general support of its mission to provide data and create insight so philanthropic funders can better define, assess and improve their effectiveness and impact<br />
 ",Strategic Opportunities Fund,Unknown,"675 Massachusetts Avenue, 7th Floor, Cambridge, MA 02139, United States of America"
Philanthropy New York 2019,160000.0,2019-01-01,2022-12-31,"in general support of its mission to support the practice of effective philanthropy for the public good through educational activities, publications and communications",Strategic Opportunities Fund,Unknown,"320 East 43rd Street, New York, NY 10017, United States of America"
New Venture Fund 2018,11000000.0,2019-01-01,2021-08-31,"for use by Co-Impact, a global collaborative for systems change, toward its operational costs",Co-Impact,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
Center for US Global Leadership 2019,500000.0,2019-01-01,2020-12-31,in general support of its mission to educate and engage the American public and opinion leaders across the country on the importance of America's civilian tools of development and diplomacy,Policy,Unknown,"1120 19th Street NW, Suite 300, Washington, DC 20036, United States of America"
The ONE Campaign 2019,1250000.0,2019-01-01,2023-12-31,"in general support of its mission to fight extreme poverty and preventable disease, particularly in Africa, by raising public awareness and educating policy makers about the importance of smart and effective policies and programs",Strategic Opportunities Fund,Unknown,"1299 Pennsylvania Avenue, NW, Suite 400, Washington, DC 20005, United States of America"
Synergos Institute 2019,240000.0,2019-01-01,2022-12-31,in general support of its mission to bring people together to solve complex problems of poverty,Strategic Opportunities Fund,Unknown,"3 East 54th Street, 14th Floor, New York, NY 10022, United States of America"
The Windward Fund 2018,750000.0,2018-12-01,2020-05-31,"for use by Factor(E) Ventures, PBC in support of testing technologies and business models which will utilize energy to unlock agricultural productivity and create a community of practice focused on joint planning, research and investment related to the intersection of energy and agriculture to drive economic opportunity in Sub-Saharan Africa",Power and Climate,Unknown,"1828 L Street NW, Suite 300-C, Washington, DC 20036, United States of America"
